data,diario_nao_infetado,acumulado_infetado,acumulado_hospitalizado,acumulado_internadoUCI,acumulado_mortes
2021-09-30,10102942,1069279,735449,120982,17975
2021-10-01,10102947,1069975,735806,121049,17979
2021-10-02,10101821,1070665,736143,121114,17986
2021-10-03,10102400,1071114,736485,121183,17993
2021-10-04,10097267,1071307,736836,121251,18000
2021-10-05,10095344,1072037,737182,121313,18004
2021-10-06,10092012,1072537,737531,121373,18008
2021-10-07,10089344,1073268,737884,121430,18019
2021-10-08,10085480,1074109,738216,121482,18027
2021-10-09,10083544,1074813,738537,121537,18034
2021-10-10,10084440,1075312,738871,121592,18041
2021-10-11,10082928,1075639,739227,121650,18048
2021-10-12,10080424,1076358,739572,121706,18056
2021-10-13,10077454,1077186,739907,121760,18065
2021-10-14,10075963,1077963,740228,121816,18071
2021-10-15,10072344,1078729,740529,121871,18078
2021-10-16,10080940,1079341,740814,121930,18088
2021-10-17,10083785,1079806,741109,121991,18097
2021-10-18,10082127,1080097,741421,122053,18100
2021-10-19,10079363,1080929,741720,122113,18106
2021-10-20,10077865,1081856,742006,122171,18109
2021-10-21,10077822,1082721,742294,122229,18117
2021-10-22,10076442,1083651,742578,122289,18125
2021-10-23,10076209,1084534,742852,122344,18129
2021-10-24,10079654,1085138,743121,122396,18133
2021-10-25,10079500,1085451,743411,122455,18138
2021-10-26,10077765,1086280,743712,122517,18141
2021-10-27,10077797,1087245,744028,122578,18144
2021-10-28,10079808,1088133,744346,122638,18149
2021-10-29,10078877,1088977,744677,122703,18153
2021-10-30,10078937,1089888,744995,122767,18156
2021-10-31,10084542,1090651,745330,122826,18157
2021-11-01,10083660,1091142,745690,122886,18162
2021-11-02,10085468,1091592,746062,122945,18171
2021-11-03,10085587,1092666,746446,123012,18180
2021-11-04,10085740,1094048,746803,123085,18184
2021-11-05,10084722,1095337,747148,123151,18193
2021-11-06,10084815,1096534,747471,123213,18198
2021-11-07,10088613,1097557,747812,123277,18203
2021-11-08,10086714,1098125,748172,123339,18209
2021-11-09,10088451,1099307,748533,123399,18217
2021-11-10,10087547,1100961,748913,123461,18222
2021-11-11,10088080,1102438,749296,123525,18231
2021-11-12,10086831,1104189,749707,123590,18234
2021-11-13,10087495,1106005,750131,123659,18242
2021-11-14,10090673,1107488,750596,123734,18257
2021-11-15,10089679,1108462,751066,123810,18265
2021-11-16,10088699,1110155,751552,123890,18274
2021-11-17,10088116,1112682,752066,123965,18283
2021-11-18,10088492,1115080,752589,124037,18295
2021-11-19,10087525,1117451,753117,124116,18300
2021-11-20,10087646,1119784,753661,124204,18310
2021-11-21,10090489,1122283,754258,124293,18321
2021-11-22,10089610,1123758,754886,124386,18339
2021-11-23,10089462,1126318,755535,124479,18353
2021-11-24,10088009,1130091,756216,124584,18370
2021-11-25,10088295,1133241,756907,124687,18385
2021-11-26,10089722,1136446,757612,124787,18393
2021-11-27,10089469,1139810,758320,124891,18405
2021-11-28,10092299,1142707,759084,124995,18417
2021-11-29,10089505,1144342,759893,125106,18430
2021-11-30,10085199,1147249,760726,125222,18441
2021-12-01,10082673,1151919,761567,125338,18458
2021-12-02,10080853,1154817,762483,125466,18471
2021-12-03,10079660,1157352,763385,125595,18492
2021-12-04,10077038,1163001,764264,125725,18514
2021-12-05,10076682,1166787,765175,125859,18537
2021-12-06,10069736,1169003,766123,125994,18551
2021-12-07,10063244,1172420,767059,126127,18572
2021-12-08,10057408,1177706,767976,126265,18587
2021-12-09,10053721,1181294,768937,126407,18610
2021-12-10,10049014,1185036,769884,126544,18626
2021-12-11,10046136,1190409,770836,126686,18645
2021-12-12,10044813,1194288,771800,126829,18658
2021-12-13,10038523,1196602,772794,126973,18673
2021-12-14,10032745,1200193,773747,127115,18687
2021-12-15,10028337,1205993,774714,127265,18698
2021-12-16,10025758,1211130,775666,127423,18717
2021-12-17,10019515,1215774,776609,127570,18741
2021-12-18,10017180,1220836,777514,127717,18753
2021-12-19,10016875,1225102,778445,127862,18778
2021-12-20,10008508,1227854,779388,128014,18796
2021-12-21,10000679,1233608,780292,128167,18812
2021-12-22,9993849,1242545,781201,128322,18823
2021-12-23,9988136,1253094,782094,128470,18840
2021-12-24,9981365,1266037,782958,128619,18851
2021-12-25,9979380,1276053,783815,128771,18861
2021-12-26,9982293,1279785,784693,128922,18874
2021-12-27,9976339,1286119,785607,129072,18890
2021-12-28,9968892,1303291,786543,129224,18909
2021-12-29,9966793,1330158,787514,129375,18921
2021-12-30,9968418,1358817,788548,129519,18937
2021-12-31,9966266,1389646,789572,129664,18955
